Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7nF,
"C10, C9",0402,2,0.1u,
"C11, C12, C13, C14",0201,4,0.1u,
"C2, C3",0402,2,1uF,
"C4, C5, C6",0402,3,4.7u,
"C7, C8",0402,2,15p,
D1,0402,1,LED,
IC1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354A,
"J1, J2",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14_Pin,
J3,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03,
J4,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0_16P,
L1,AOTA-B201610S3R3-101-T,1,3.3u,
R1,0402,1,1MΩ,
"R2, R3",0402,2,5.1kΩ,
"R4, R5",0402,2,27,
R6,0402,1,33,
"R7, R8",0402,2,1k,
R9,0402,1,470,
SW1,SW_SPST_TS-1088-xR020,1,SW_Push,
U1,TSOT-23-5,1,RT9080-33GJ5,
U2,SOT-23-3,1,CH213K,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12m,
