Designator,Mid X,Mid Y,Rotation,Layer
C1,71.656,-93.664636,180.0,top
C10,78.232,-102.681636,0.0,top
C11,79.883,-98.922436,270.0,top
C12,80.518,-112.587636,180.0,top
C13,70.231,-110.047636,0.0,top
C14,72.136,-104.14,0.0,top
C2,75.692,-94.299636,0.0,top
C3,75.692,-99.379636,180.0,top
C4,70.9168,-106.934,315.0,top
C5,74.549,-116.651636,270.0,top
C6,81.28,-107.812436,225.0,top
C7,77.724,-114.187836,180.0,top
C8,79.883,-116.651636,270.0,top
C9,78.232,-103.697636,0.0,top
D1,78.613,-95.758,0.0,top
D2,78.613,-94.2848,0.0,top
D3,71.628,-120.131436,180.0,top
IC1,76.2,-108.375636,90.0,top
J1,76.2,-89.983636,180.0,top
J2,68.58,-105.221636,0.0,bottom
J3,83.82,-105.221636,180.0,bottom
J4,76.2,-121.096636,180.0,top
L1,78.153,-100.980636,0.0,top
R1,71.656,-94.680636,180.0,top
R2,81.661,-88.330636,90.0,top
R3,70.739,-88.330636,90.0,top
R4,71.628,-121.122036,0.0,top
R5,72.7456,-103.1748,180.0,top
R6,75.946,-113.857636,90.0,top
R7,74.803,-102.044636,90.0,top
R8,75.819,-102.044636,90.0,top
R9,77.5716,-99.379636,180.0,top
SW1,72.263,-116.524636,90.0,top
U1,75.25,-96.839636,90.0,top
Y1,77.216,-116.651636,0.0,top
